"","ID","negmusicICC","posmusicICC","negpicICC","pospicICC","allmusicICC","allpicICC"
"1","29887",-0.300951031849343,0,-0.924028447929234,-0.94107969976286,-0.150475515924671,-0.932554073846047
"2","29911",-1.75530616865176,-1.16173108386753,-1.48664383945038,-1.98788455767851,-1.45851862625965,-1.73726419856444
"3","29944",-0.038213033601674,-0.166852296189112,-0.198650898734502,-0.56982361018491,-0.102532664895393,-0.384237254459706
"4","29959",-0.968806333165211,-0.724199610875439,-1.28573264186678,-1.87107854606073,-0.846502972020325,-1.57840559396375
"5","29962",-0.550659775609538,-0.765065633750134,-1.10884251468397,-1.15652321141165,-0.657862704679836,-1.13268286304781
"6","29974",-0.835112345385582,-1.09715271763769,-0.812088610609156,-1.4804095376985,-0.966132531511635,-1.14624907415383
"7","29986",-0.260684027990088,-1.04599011544002,-0.994251473847723,-1.01988941559103,-0.653337071715057,-1.00707044471937
"8","29998",-1.18166815581416,-1.43876879342226,-1.85444244512992,-2.32379972158772,-1.31021847461821,-2.08912108335882
"9","30007",-0.715473063221058,-1.00808238723779,-1.47467558546831,-1.38468854261263,-0.861777725229425,-1.42968206404047
"10","30022",-1.08203585736792,-1.1845158437972,-1.82835475715315,-1.67593410920685,-1.13327585058256,-1.75214443318
"11","30064",-0.828608051745006,-1.18571495190647,-1.49585235064614,-2.72695053543525,-1.00716150182574,-2.11140144304069
"12","30070",-0.978527883991263,-1.55800616278866,-1.78895778135419,-2.38652531832792,-1.26826702338996,-2.08774154984105
"13","30292",-0.975530102822655,-1.60591622289684,-1.77298144011835,-1.70249820537409,-1.29072316285975,-1.73773982274622
"14","30349",-1.13641554305544,-1.75322596215049,-1.90125609515163,-1.86012586009586,-1.44482075260297,-1.88069097762375
"15","30388",-0.577147533872454,-0.275113332258088,-0.395396302294747,-0.85833575731919,-0.426130433065271,-0.626866029806969
"16","30415",-0.502035049300847,-0.679480612246466,-1.00262844464985,-1.21448633526665,-0.590757830773657,-1.10855738995825
"17","30475",-0.443818480421116,-0.503105663141572,-0.873099919338916,-1.10897003827468,-0.473462071781344,-0.991034978806798
"18","30766",-0.00595618328575468,-0.453206680464886,0,-1.41566532390485,-0.22958143187532,-0.707832661952425
"19","30814",-0.926073340912711,-1.25835580477135,-1.471840270645,-2.0644707655677,-1.09221457284203,-1.76815551810635
"20","30850",-0.442005872143508,-0.735674446364538,-1.65688326185474,-2.35673329765676,-0.588840159254023,-2.00680827975575
"21","30880",-0.459788474184225,-0.951269655036346,-1.26225669440768,-1.99366256824175,-0.705529064610286,-1.62795963132471
"22","30907",-0.74535545845911,-1.53609140228048,-0.823843643208764,-1.38601773314142,-1.14072343036979,-1.10493068817509
"23","30916",-0.551776739831874,-1.20006970452846,-1.85880317665306,-1.72379424626096,-0.875923222180167,-1.79129871145701
"24","30955",-0.796916025255814,-1.12881311102313,-1.26606531199855,-1.51820925252688,-0.962864568139473,-1.39213728226272
"25","31132",-1.82697724890321,-1.6270001953536,-1.79172126267208,-2.02206919396377,-1.72698872212841,-1.90689522831792
"26","31168",-0.206687472577095,-0.707843440689467,-1.483383213894,-1.66039995561972,-0.457265456633281,-1.57189158475686
"27","31231",-0.592423385221998,-1.42527056088985,-1.67210608873513,-1.31938472972525,-1.00884697305592,-1.49574540923019
"28","31267",-0.983916101701016,-1.04783343818798,-1.85416812472224,-1.91427669144296,-1.0158747699445,-1.8842224080826
"29","31279",-1.09824297895167,-1.78364923856591,-1.61296800736823,-2.2461849464226,-1.44094610875879,-1.92957647689541
"30","31522",-1.57503873253549,-1.73124431464856,-1.35533475104804,-1.74051556171789,-1.65314152359203,-1.54792515638296
"31","31546",0,-1.16184801832851,-0.445483730975629,-1.8813416840652,-0.580924009164253,-1.16341270752041
"32","31576",-0.8285607304161,-1.30938282044546,-2.04071905558527,-2.22923921480849,-1.06897177543078,-2.13497913519688
"33","31612",-0.76856079722486,-1.27277161012458,-0.916881949221679,-1.3062875539091,-1.02066620367472,-1.11158475156539
"34","31621",-0.430314019353798,-0.831166136766042,-1.06737853417666,-0.911453531440654,-0.63074007805992,-0.989416032808659
"35","31654",-1.13561783554283,-1.2133750663195,-1.61069809779551,-2.59876825773291,-1.17449645093117,-2.10473317776421
"36","31669",-0.270556588101221,-1.06627008527697,-0.828722740201901,-1.00539271438435,-0.668413336689095,-0.917057727293125
"37","31699",-0.599353058227249,-1.82746874683951,-1.25711077602142,-1.89387099799212,-1.21341090253338,-1.57549088700677
"38","31711",-0.933117620609975,-2.34741733156204,-1.59740772729102,-2.32201282278723,-1.64026747608601,-1.95971027503912
"39","31723",-0.982560098373711,-1.4171450072079,-1.18339404564678,-1.80019540163153,-1.1998525527908,-1.49179472363915
"40","31897",-0.0893692736241776,-1.60452705413923,-1.23433551650314,-2.11675623037125,-0.846948163881703,-1.67554587343719
"41","31930",-1.10712001589941,-1.5949302568709,-1.23510444591593,-1.81053624593579,-1.35102513638515,-1.52282034592586
